name,address,opening_time,ticket,tel,tag,intro,path
淞沪抗战纪念馆,上海市宝山区友谊路1号临江公园,每周二至周日，9:00—16:30,0,021-66786322,抗日战争、爱国主义教育基地,上海淞沪抗战纪念馆，坐落于上海市宝山区友谊路1号临江公园（昔日上海军民浴血抗战的主战场—宝山境内）。1999年3月，为了铭记两次淞沪战役（民国二十一年（1932年）的一·二八淞沪抗战、民国二十五年（1937年）的八一三淞沪会战）和上海人民14年的抗日斗争历史，动工兴建纪念馆，2000年1月28日竣工并对外开放。<>上海淞沪抗战纪念馆采用塔馆合一的建筑风格，建筑面积3490平方米，展厅面积1500平方米，室外展示区域近8000平方米。纪念馆共11层，1—2层为陈列区，3层为馆藏区，4层以上为塔式建筑。1—2层专题陈列《血沃淞沪——淞沪会战主题展》，由“中国抗日战争的爆发”、“八一三淞沪会战”、“上海抗日救亡运动的高潮”、等七个部分组成。陈列以文物、史料、图片为主，有抗战时期往来的电文、手令、战役总结、官兵家书等文书，战前敌我双方及德国顾问团绘制的军事地图、嘉奖令、电影胶片以及军械、军服、缴获的日本军旗等。,淞沪抗战纪念馆.jpg
南园,上海市黄埔区龙华东路800号,8：15-16：15,20,-,中共、地下活动,上海南园公园人们习惯称南园，此地原系闽南同乡泉漳会馆旧址，曾是中国共产党的地下活动场所。1957年4月，市园林管理处辟建公园，同年10月15日开放。此地系闽南同乡会泉漳会馆旧址，内有各种建筑及茔地，习称南园。<>南园原占地约7万平方米，南濒黄浦江边，民国16年和民国20年经两度改建，在此开办过泉漳中学。抗日战争前期房屋被毁，会馆为维护产权，于民国32年改办福南农场。<>园中树木计2400株，乔木与灌木之比为1∶1.74，常绿树与落叶树之比为1∶0.67。乔木主要有棕榈、广玉兰、罗汉松、龙柏、黑松、水杉、悬铃木、合欢，灌木较多的有桂花树，蚊母树、夹竹桃、木槿、月季、腊梅、茶花、石榴。园中种植各类球形植物有蚊母球、海桐球、杨梅球、珊瑚球、胡颓子球、黄杨球、龙柏球等，树木成片栽植的有茶花林、广玉兰林、棕榈林、杜鹃林等。,南园.jfif
刘长胜故居,上海市静安区愚园路81号,"9:00-11:30,13:00-16:30(周一闭馆)",0,021-62155939,人物类纪念馆、地下活动、爱国主义教育基地,愚园路81号是1946年至1949年刘长胜同志任中共中央上海局副书记时的居住地，也是中共中央上海局的秘密机关之一。该宅是一幢沿街的砖木结构的三层楼房。2004年5月27日，中共上海地下组织斗争史陈列馆正式对社会开放。<>陈列馆占地239平方米，建筑面积927平方米，共设有三层展示区：底楼主要为30~40年代三个上海地下党秘密联络点的场景介绍；二楼、三楼主要为 “中共上海地方组织成立”、“前赴后继、不屈不挠的斗争”、“开展抗日救亡运动”、“争取和平民主、反对内战”、“里应外合解放上海”五大内容陈列展示，它通过油画、雕塑、遗物、实物陈列，场景展示，情景模拟，影视合成等一系列表现手法，介绍了上海地下工作者可歌可泣的业绩，展示了中共上海地下组织发展、斗争的历程。,刘长胜故居.jpg
中国劳动组合书记部旧址陈列馆,上海静安区成都北路897、899号,星期二至星期四9：00-11：00，13：00-16：00,0,021-62157732,工人运动、中共、爱国主义教育基地,中国劳动组合书记部是中华全国总工会的前身，是中国共产党建立的第一个领导全国工人运动的公开机构，成立于1921年8月11日。至1925年5月1日第二次全国劳动大会召开成立了中华全国总工会后完成其历史使命。<>中国劳动组合书记部旧址于1959年5月被上海市人民委员会列为市级文物保护单位。1992年9月，恢复中国劳动组合书记部旧址，并建立陈列馆向社会开放。后经多次修缮后于2019年10月1日再次对外开放，献礼中华人民共和国成立70周年。该陈列馆，是全面唯一的展现中国劳动组合书记部史迹的专题陈列馆，藏有《共产党》月刊等重要文献，展厅运用各种虚拟技术，较全面、集中而真实地反映了中国劳动组合书记部的历史功绩。,中国劳动组合书记部旧址陈列馆.jfif
中共三大后中央局机关历史纪念馆,上海市静安区浙江北路118号,9：00-11：15，13：00—16：15,0,021-33010988,中共、人大、爱国主义教育基地,中共三大后中共中央局在沪机关所在秘密场地，在“一二八”事变中毁于战火。闸北区将原闸北史料馆改建而成的中共三大后中央局机关历史纪念馆，把历史上留下重要笔墨的“三曾里”，将被真实还原。<>馆内共收集历史照片500多张，复制品90多件。生动再现了中共三大之后，中央局机关在上海开展工作的情况。当时，毛泽东等人白天在寓所内起草重要文件，晚上开会讨论。1924年初国民党第一次全国代表大会在广州结束后，毛泽东再次被派往上海参加国民党上海执行部的工作，重回“三曾里”。直到1924年9月前，这幢静悄悄的石库门并未引起多大的关注，期间所发生的事情外人也知之甚少。<>陈列馆由中心展区和分中心展区及一个多功能厅。反映了1923年6月，中共三大召开后的一段历史：展馆中陈列的已被侵华日军炸毁的“三曾里”办公楼模型、毛泽东同志等人的仿真人像。重点介绍三曾里、党中央领导机关在其中的历史足迹等重要内容。中央局成员陈独秀、毛泽东、蔡和森、罗章龙先后来到上海，中央局机关由广州迁址于闸北“三曾里”，这里成为中央高层领导协商党内外大事的重要办公场所。馆内还展示了中国共产党在闸北这片热土上领导一系列革命斗争的“红色闸北”史料。,中共三大后中央局机关历史纪念馆.jfif
蔡元培故居陈列馆,上海市静安区华山路303弄16号,周二至周日 9:00-16:00,0,021-62484996,人物类纪念馆、革命、爱国主义教育基地,蔡元培故居坐落于华山路303弄16号是一幢三层住宅，房屋已于1984年被列为上海市级文物保护单位。<>上世纪的1937年10月，蔡元培先生由上海市愚园路寓所迁至海格路（今上海市华山路303弄16号）居住。同年11月2日，他带头与交通、同济、暨南、浙江等大学校长黎照寰、翁之龙、何炳松、竺可桢等联名致电九国公约会议，呼吁采取有效措施，遏止日本对华之侵略，并严惩日本违反国际公法，肆意摧毁我国文教机关之暴行……日军侵占上海后，蔡先生果断移居香港。<>蔡先生故居是一幢黄色花园洋房，外形采用较陡的两坡屋顶，山墙一段露出深色的木构架，深灰色卵石墙面，加上红瓦屋顶，显得亲切而高雅。整幢建筑采用不规则布局，南面有一大片草坪，左侧有一间矮小的花房，两侧屋旁植有龙柏、芭蕉、罗汉松、瓜子黄杨和盘槐。整幢房屋占地2．22亩，建筑面积526平方米。<>现一楼辟为故居陈列馆，二楼、三楼居住着蔡元培先生的子女，故居的陈设基本保持蔡元培先生生前的原样。陈列馆建筑面积210平方米，展览分为三大部分：一、“从刻苦攻读到教育救国”；二、“中国近代教育和科学事业的奠基人”；三、“志在民族革命，醒在民主自由”。同时还展示了他生前使用过的打字机、行李箱等文物。,蔡元培故居.jfif
五卅运动纪念碑,西藏中路与九江路口西五卅广场(九江路口),全天,0,-,工人运动、抗日战争、青年学子、爱国主义教育基地,5月30日，学生、工人上街示威游行。租界的英国巡捕向示威群众开枪射击，打死学生、工人等13人，伤者不计其数，制造了震惊全国的五卅惨案。“五卅”惨案是中国工人阶级反抗帝国主义的侵略，反抗剥削与压迫的记录。<>为了纪念五卅运动，1927年曾在闸北五卅殉难烈士墓前建立纪念碑。1937年8月13日，日本帝国主义发动侵沪战争，原碑被日本侵略者毁坏。在纪念五卅运动60周年之时，中共上海市委、上海市人民政府、上海市总工会在市中心人民公园重建五卅运动纪念碑，以激励后人，继承烈士遗志。1985年5月奠基，1990年5月落成。<>坐落于南京西路、西藏中路西南侧的一片绿地中。纪念碑的碑体、基座等都是采用泰山一麓的花岗岩，代表着烈士的牺牲重于泰山。由陈云同志题写碑名，陆定一题写碑文。中间是一座高3米、宽4米，重3吨多，由两个不屈不挠的工人形象组成的青铜雕塑，表现了中国工人阶级前仆后继，英勇斗争的革命精神。后面是三块花岗岩石碑，中间一块高5米，宽24米。南北两侧的两块碑体，分别高4米、宽12米，背面各有一组展现五卅斗争历史的青铜浮雕。,五卅运动纪念碑.jpg
鲁迅纪念馆,上海市虹口区甜爱路200号鲁迅公园内,周二-周日9:00-17:00,0,021-65402288,人物类纪念馆、革命、爱国主义教育基地,上海鲁迅纪念馆座落于虹口区甜爱路，是新中国成立后建立的第一座人物类纪念馆，是纪念伟大的文学家、思想家和革命家鲁迅先生的纪念性博物馆。<>除纪念馆外，所辖的鲁迅墓为全国重点文物保护单位，鲁迅故居为上海市重点文物保护单位。该纪念馆1951年由华东军政委员会文化部谢旦如先生负责筹建，1999年完成改扩建，馆名由周恩来总理题写。纪念馆是一幢具鲁迅故乡绍兴民居风格的建筑，文物文献资料20余万件，其中一级文物达160余件，6000余件为珍贵、重要文物。上海鲁迅纪念馆以鲁迅纪念馆的生平陈列、鲁迅墓、鲁迅故居三位一体。,鲁迅纪念馆.jfif
中共四大纪念馆,上海市虹口区四川北路1468号,周二至周日 09:00-11:30，13:30-16:30,0,"021-60821097,021-60761026",中共、人大、爱国主义教育基地,1925年1月11日至22日，中国共产党第四次全国代表大会在上海东宝兴路254弄28支弄8号处召开，然而原址却毁于1932年的侵华日军炮火。<>新落成的中共“四大”纪念馆位于四川北路绿地公园内，江泽民为纪念馆题写了馆名。纪念馆建筑面积为3180平方米，展览面积约1500平方米，由序厅、主展厅、影视厅和副展厅等组成，在设计布展过程中，始终贯彻“事为魂、史为桥、讲述会议”的理念。一进序厅，大型主题雕塑《工农联盟》让整个纪念馆显得格外肃穆，序厅两边墙壁是反映当年时代背景的浮雕；石库门造型的房屋图案、上海里弄、年轮大道等元素的注入，使参观者身临其境，倍受感触。,中共四大纪念馆.jfif
宋庆龄故居,上海市徐汇区淮海中路1843号,周二-周日9:00-17:00，16:30停止入馆,20,"021-64747183,021-64376268",人物类纪念馆、革命、爱国主义教育基地,上海宋庆龄故居，位于淮海中路1843号，是一幢红瓦白墙的小洋房。这幢房子是一个德国人的私人别墅，1949年到1963年宋庆龄在这里工作、生活达15年之久。<>上海宋庆龄故居为国家重点文物保护单位、上海宋庆龄故居纪念馆为国家二级博物馆、上海市爱国主义教育基地。<>宋庆龄（1893年1月27日-1981年5月29日），中华人民共和国的缔造者之一、国家名誉主席，伟大的爱国主义、民主主义、国际主义和共产主义战士，举世闻名的二十世纪的伟大女性。她青年时代追随孙中山，献身革命，在近七十年的革命生涯中，坚强不屈、矢志不移、英勇奋斗，始终坚定地和中国人民、中国共产党站在一起，为中国人民的解放事业，为妇女儿童的卫生保健和文化教育福利事业，为祖国统一以及保卫世界和平、促进人类的进步事业而殚精竭力，鞠躬尽瘁，做出了不可磨灭的贡献，受到中国人民、海外华人华侨的景仰和爱戴，也赢得国际友人的赞誉和热爱，并享有崇高的威望。<>1949年宋庆龄就是在这里欣然接受中国共产党的邀请，北上参加开国大典和第一届中国人民政治协商会议，并当选为中央人民政府副主席，参与制定国家各项大政方针。她经常在故居举行各种国务活动，会晤和宴请来访的各国贵宾，促进中外交往维护世界和平。<>主体建筑为一幢乳白色船形的假三层西式楼房，建筑面积有700平方米，主楼是砖木结构的西式假三层楼房，建于上世纪20年代初期，地层为客厅、餐厅、书房，二楼是宋庆龄的卧室，办公室和保姆李燕娥的卧室。楼前有宽广的草坪，楼后是花木茂盛的花园，周围有常青的香樟树掩映，环境优美清净。,宋庆龄故居.png
