name,lng,lat,duration,entertain,tag,intro,address,opening_time,ticket,tel
南园,121.481301,31.199975,30,4,中共、地下活动,上海南园公园人们习惯称南园，此地原系闽南同乡泉漳会馆旧址，曾是中国共产党的地下活动场所。1957年4月，市园林管理处辟建公园，同年10月15日开放。此地系闽南同乡会泉漳会馆旧址，内有各种建筑及茔地，习称南园。<>南园原占地约7万平方米，南濒黄浦江边，民国16年和民国20年经两度改建，在此开办过泉漳中学。抗日战争前期房屋被毁，会馆为维护产权，于民国32年改办福南农场。<>园中树木计2400株，乔木与灌木之比为1∶1.74，常绿树与落叶树之比为1∶0.67。乔木主要有棕榈、广玉兰、罗汉松、龙柏、黑松、水杉、悬铃木、合欢，灌木较多的有桂花树，蚊母树、夹竹桃、木槿、月季、腊梅、茶花、石榴。园中种植各类球形植物有蚊母球、海桐球、杨梅球、珊瑚球、胡颓子球、黄杨球、龙柏球等，树木成片栽植的有茶花林、广玉兰林、棕榈林、杜鹃林等。,上海市黄埔区龙华东路800号,8：15-16：15,20,-
刘长胜故居,121.452627,31.230292,60,5,人物、地下活动、老建筑、国共斗争,愚园路81号是1946年至1949年刘长胜同志任中共中央上海局副书记时的居住地，也是中共中央上海局的秘密机关之一。该宅是一幢沿街的砖木结构的三层楼房。2004年5月27日，中共上海地下组织斗争史陈列馆正式对社会开放。<>陈列馆占地239平方米，建筑面积927平方米，共设有三层展示区：底楼主要为30~40年代三个上海地下党秘密联络点的场景介绍；二楼、三楼主要为 “中共上海地方组织成立”、“前赴后继、不屈不挠的斗争”、“开展抗日救亡运动”、“争取和平民主、反对内战”、“里应外合解放上海”五大内容陈列展示，它通过油画、雕塑、遗物、实物陈列，场景展示，情景模拟，影视合成等一系列表现手法，介绍了上海地下工作者可歌可泣的业绩，展示了中共上海地下组织发展、斗争的历程。,上海市静安区愚园路81号,"9:00-11:30,13:00-16:30(周一闭馆)",0,021-62155939
中国劳动组合书记部旧址陈列馆,121.470312,31.243878,30,2,工人运动、中共、工会,中国劳动组合书记部是中华全国总工会的前身，成立于1921年8月11日，至1925年5月1日第二次全国劳动大会召开成立了中华全国总工会后完成其历史使命。陈列馆原位于成都北路899号，1993年，由于成都路高架工程建设，旧址陈列馆被拆除。1999年9月29日，在成都北路893弄重建的中国劳动组合书记部旧址陈列馆对社会开放，同年被上海市总工会命名为“上海职工爱国主义教育基地”。<>该陈列馆原系中国劳动组合书记部总部所在地(北成都路19号，今成都北路899号)。中国劳动组合书记部是中国共产党早期公开领导工人运动的总机关-中华全国总工会的前身。它诞生于1921年8月，主任张特立(张国焘)，干事李启汉、李震瀛，并在北京、武汉、湖南、广东、济南设立分部，邓中夏、罗章龙、包惠憎、毛泽东、谭平山、王烬美等曾任分部主任。1922年7月18日，总部被英"租界"当局封闭后迁往北京，办事处设在北京大学二院学生宿舍内(今北京市东城区沙滩后街59号)，主任是邓中夏。1923年2月，北京总部又遭军阀查禁仍迁回上海，直到1925年5月第二次全国劳动大会前夕，已完成其历史使命而宣告结束。,上海静安区成都北路897、899号,星期二至星期四9：00-11：00，13：00-16：00,0,021-62157732
中共三大后中央局机关历史纪念馆,121.482779,31.249564,30,3,抗日战争、一二八、老建筑、人大,中共三大后中共中央局在沪机关所在秘密场地，在“一二八”事变中毁于战火。闸北区将原闸北史料馆改建而成的中共三大后中央局机关历史纪念馆，把历史上留下重要笔墨的“三曾里”，将被真实还原。<>馆内共收集历史照片500多张，复制品90多件。生动再现了中共三大之后，中央局机关在上海开展工作的情况。当时，毛泽东等人白天在寓所内起草重要文件，晚上开会讨论。1924年初国民党第一次全国代表大会在广州结束后，毛泽东再次被派往上海参加国民党上海执行部的工作，重回“三曾里”。直到1924年9月前，这幢静悄悄的石库门并未引起多大的关注，期间所发生的事情外人也知之甚少。<>陈列馆由中心展区和分中心展区及一个多功能厅。反映了1923年6月，中共三大召开后的一段历史：展馆中陈列的已被侵华日军炸毁的“三曾里”办公楼模型、毛泽东同志等人的仿真人像。重点介绍三曾里、党中央领导机关在其中的历史足迹等重要内容。中央局成员陈独秀、毛泽东、蔡和森、罗章龙先后来到上海，中央局机关由广州迁址于闸北“三曾里”，这里成为中央高层领导协商党内外大事的重要办公场所。馆内还展示了中国共产党在闸北这片热土上领导一系列革命斗争的“红色闸北”史料。,上海市静安区浙江北路118号,9：00-11：15，13：00—16：15,0,021-33010988
蔡元培故居陈列馆,121.45183,31.225693,120,4,人物、老建筑、抗日战争,蔡元培故居坐落于华山路303弄16号是一幢三层住宅，房屋已于1984年被列为上海市级文物保护单位。<>上世纪的1937年10月，蔡元培先生由上海市愚园路寓所迁至海格路（今上海市华山路303弄16号）居住。同年11月2日，他带头与交通、同济、暨南、浙江等大学校长黎照寰、翁之龙、何炳松、竺可桢等联名致电九国公约会议，呼吁采取有效措施，遏止日本对华之侵略，并严惩日本违反国际公法，肆意摧毁我国文教机关之暴行……日军侵占上海后，蔡先生果断移居香港。<>蔡先生故居是一幢黄色花园洋房，外形采用较陡的两坡屋顶，山墙一段露出深色的木构架，深灰色卵石墙面，加上红瓦屋顶，显得亲切而高雅。整幢建筑采用不规则布局，南面有一大片草坪，左侧有一间矮小的花房，两侧屋旁植有龙柏、芭蕉、罗汉松、瓜子黄杨和盘槐。整幢房屋占地2．22亩，建筑面积526平方米。<>现一楼辟为故居陈列馆，二楼、三楼居住着蔡元培先生的子女，故居的陈设基本保持蔡元培先生生前的原样。陈列馆建筑面积210平方米，展览分为三大部分：一、“从刻苦攻读到教育救国”；二、“中国近代教育和科学事业的奠基人”；三、“志在民族革命，醒在民主自由”。同时还展示了他生前使用过的打字机、行李箱等文物。,上海市静安区华山路303弄16号,周二至周日 9:00-16:00,0,021-62484996
五卅运动纪念碑,121.480378,31.239972,10,5,工人运动、革命,5月30日，学生、工人上街示威游行。租界的英国巡捕向示威群众开枪射击，打死学生、工人等13人，伤者不计其数，制造了震惊全国的五卅惨案。“五卅”惨案是中国工人阶级反抗帝国主义的侵略，反抗剥削与压迫的记录。<>为了纪念五卅运动，1927年曾在闸北五卅殉难烈士墓前建立纪念碑。1937年8月13日，日本帝国主义发动侵沪战争，原碑被日本侵略者毁坏。在纪念五卅运动60周年之时，中共上海市委、上海市人民政府、上海市总工会在市中心人民公园重建五卅运动纪念碑，以激励后人，继承烈士遗志。1985年5月奠基，1990年5月落成。<>坐落于南京西路、西藏中路西南侧的一片绿地中。纪念碑的碑体、基座等都是采用泰山一麓的花岗岩，代表着烈士的牺牲重于泰山。由陈云同志题写碑名，陆定一题写碑文。中间是一座高3米、宽4米，重3吨多，由两个不屈不挠的工人形象组成的青铜雕塑，表现了中国工人阶级前仆后继，英勇斗争的革命精神。后面是三块花岗岩石碑，中间一块高5米，宽24米。南北两侧的两块碑体，分别高4米、宽12米，背面各有一组展现五卅斗争历史的青铜浮雕。,西藏中路与九江路口西五卅广场(九江路口),全天,0,-
鲁迅纪念馆,121.490803,31.275106,90,3,人物、中共、革命、工人运动,上海鲁迅纪念馆是新中国建立后第一个人物性纪念馆，也是新中国成立后第一个名人纪念馆，同时管理鲁迅墓文物保护单位。上海鲁迅纪念馆以鲁迅故居、鲁迅墓、鲁迅纪念馆的生平陈列三位一体。1951年1月正式开放，是“全爱国国主义教育示范基地”和上海市红色旅游主要景点之一。<>这是一幢红砖红瓦的3层楼建筑、底层围墙内有个小天井，鲁迅先生曾在这个辟作花园的天井内，亲手种植了桃树、紫荆花、夹竹桃等植物，底层前面一大间是会客室，中间撂一张棕黑色的长方形西式餐桌、周围有5把椅子，西墙放着书橱、手摇留声机及翟秋自谱住于此时的工作台，底层后面是餐室，放着1张广漆的八仙桌，4把镂花圆椅，酉墙角是双层碗橱和4只圆凳，东墙有个旧衣帽架。二楼南面1间是鲁迅卧室兼工作室。靠东筋是张普通的黑铣床，床南是书橱和藤椅，床对面依次放着梳妆台、茶几、藤椅和大衣橱。糊着半透明彩花纸的南窗下，是先生的书桌，上面放着纸、墨、笔、砚和台灯，陶制的龟形笔插中便插着那枝廉价但却是鲁迅先生曾用来写了数百篇杂文的“金不换”毛笔。书桌旁有一张藤椅，是鲁迅先生坐着思考、休息的地方。房间里窗边的日历和梳妆台上的时钟，永远标记着那故人们世代纪念的时刻――鲁迅先生于1936年10月19日凌晨5时25分，在这里与世长辞。<>上海鲁迅纪念馆的的陈列，改变了以往的以生平为线索的旧例，在陈列框架上以专题划分展区，分“新文学开山”、“新人造就者”、“文化播火人”、“精神界战士”和“华夏民族魂”5个专题展区，突现鲁迅的重大业绩与主要精神的几个特出方面。重点突出、氛围浓郁，给观众留下深刻的印象。鲁迅纪念馆的陈列，在形式上注重营造氛围，通过色调色温、声音和造型来营造氛围，如灯光造型在“铁屋子中的人群”中的运用等；在展示手段上，除了用文物直接再现历史外，还充分应用了影视、场景模型等辅助手段，如：鲁迅逝世前十一天参观在八仙桥青年会举办的全国第二回流动木刻展览会的蜡像场景等；还设计了多种观众参与的功能，运用了大量高科技的技术和设备装置，如：多媒体“鲁迅知识百题问答”等。鲁迅纪念馆的陈列，设计理念先进，活化了文物资料，再现了鲁迅精神，受到专家和广大观众的好评。<>,上海市虹口区甜爱路200号鲁迅公园内,周二-周日9:00-17:00,0,021-65402288
中共四大纪念馆,121.491364,31.26057,60,5,爱国主义教育基地、中共、革命,1925年1月11日至22日，中国共产党第四次全国代表大会在上海东宝兴路254弄28支弄8号处召开，然而原址却毁于1932年的侵华日军炮火。新落成的中共“四大”纪念馆位于四川北路绿地公园内，建筑面积为3180平方米，展览面积约1500平方米，由序厅、主展厅、影视厅和副展厅等组成。<>中共“四大”纪念馆有明显的石库门和里弄风格，馆内布展已全部完成。一进序厅，大型主题雕塑《工农联盟》让整个纪念馆显得格外肃穆，序厅两边墙壁是反映当年时代背景的浮雕。,上海市虹口区四川北路1468号,周二至周日 09:00-11:30，13:30-16:30,0,"021-60821097,021-60761026"
宋庆龄故居,121.445211,31.210635,60,3,爱国主义教育基地、人物、中共、革命,上海宋庆龄故居，位于淮海中路1843号，是一幢红瓦白墙的小洋房。这幢房子是一个德国人的私人别墅，1949年到1963年宋庆龄在这里工作、生活达15年之久。<>上海宋庆龄故居为国家重点文物保护单位、上海宋庆龄故居纪念馆为国家二级博物馆、上海市爱国主义教育基地。<>宋庆龄（1893年1月27日-1981年5月29日），中华人民共和国的缔造者之一、国家名誉主席，伟大的爱国主义、民主主义、国际主义和共产主义战士，举世闻名的二十世纪的伟大女性。她青年时代追随孙中山，献身革命，在近七十年的革命生涯中，坚强不屈、矢志不移、英勇奋斗，始终坚定地和中国人民、中国共产党站在一起，为中国人民的解放事业，为妇女儿童的卫生保健和文化教育福利事业，为祖国统一以及保卫世界和平、促进人类的进步事业而殚精竭力，鞠躬尽瘁，做出了不可磨灭的贡献，受到中国人民、海外华人华侨的景仰和爱戴，也赢得国际友人的赞誉和热爱，并享有崇高的威望。<>1949年宋庆龄就是在这里欣然接受中国共产党的邀请，北上参加开国大典和第一届中国人民政治协商会议，并当选为中央人民政府副主席，参与制定国家各项大政方针。她经常在故居举行各种国务活动，会晤和宴请来访的各国贵宾，促进中外交往维护世界和平。<>主体建筑为一幢乳白色船形的假三层西式楼房，建筑面积有700平方米，主楼是砖木结构的西式假三层楼房，建于上世纪20年代初期，地层为客厅、餐厅、书房，二楼是宋庆龄的卧室，办公室和保姆李燕娥的卧室。楼前有宽广的草坪，楼后是花木茂盛的花园，周围有常青的香樟树掩映，环境优美清净。,上海市徐汇区淮海中路1843号,周二-周日9:00-17:00，16:30停止入馆,20,"021-64747183,021-64376268"
龙华烈士纪念馆,121.452918,31.182779,30,2,抗日战争,龙华革命烈士纪念地，是龙华烈士纪念馆的原状陈列部分，占地约30亩，是原国民党松沪警备司令部部分旧址，原样保存较完整，为全国早期城市白区斗争的革命遗址，1988年列为全国重点文物保护单位。早在辛亥革命前后，这里就一直是上海地方最高军事机构的所在地。其前身是创立于清同治年间的江南制造分局，俗称兵工厂，生产子弹与炸药。始称上海镇守使署和淞沪护军使署，继称上海戒严司令部和淞沪商埠督办公署，均为临时性质。1927，国民革命军攻占上海，即在此先后设上海警备司令部、淞沪卫戌司令部和淞沪警备司令部。熊式辉、钱大钧、吴铁城、杨虎城等先后在这里任司令。1937年抗战爆发，上海失守后一度改为日军关押英美侨民的集中营。解放前夕，这里改为联勤兵工厂。上海解放后，由中国人民解放军接管，改为南京军区后勤部7315工厂。<>龙华烈士陵园位于龙华寺西侧，地处著名的龙华旅游区，与千年古刹龙华寺、龙华塔毗邻。她于1984年规划筹建，1991年7月完成一期工程，1997年5月28日，龙华烈士纪念馆全面建成对社会开放，系全国重点文物保护单位和重点烈士纪念建筑物保护单位。这里原为国民党淞沪警备司令部旧址和龙华革命烈士就义地。解放后，作为革命烈士纪念地予以保护，20世纪90年代初与上海烈士陵园合并建设。 她是集园林、遗址、碑苑、陈列等为一体的综合性纪念场所，素有“上海雨花台”之称。<>,上海市徐家汇龙华镇龙华路2887号, 周二至周日 09:00-16:30,0,64685995
